campaing_id,campaing_code,valid_from,valid_to,loyalty_card,description
96,70161000000RCX3,03-08-2000,09-03-2000,0,EMERGENCIA HAITI
97,70161000000RCX4,03-09-2000,10-03-2000,0,HOJA MEMORIA 2009
47,70161000000RCWH,03-10-2000,11-03-2000,0,CARTA RINCONES DE JUEGO PRIMAVERA 2007
48,70161000000RCWI,03-11-2000,12-03-2000,0,PROSPECCION OCTUBRE 2007
49,70161000000RCWJ,03-12-2000,13-03-2000,0,PROSPECCION NOVIEMBRE 2007
50,70161000000RCWK,03-13-2000,14-03-2000,0,TARJETA DEL BIENHECHOR 2007
51,70161000000RCWL,03-14-2000,15-03-2000,0,NAVIDAD 2007
52,70161000000RCWM,03-15-2000,16-03-2000,0,CARTA DE REYES
53,70161000000RCWN,03-16-2000,17-03-2000,0,HOJA MEMORIA 2007
54,70161000000RCWO,03-17-2000,18-03-2000,0,MISIONEROS 2008
55,70161000000RCWP,03-18-2000,19-03-2000,0,PROSPECCION MARZO 2008
56,70161000000RCWQ,03-19-2000,20-03-2000,0,HOJA INFORMATIVA 61 OTOÑO 2008
57,70161000000RCWR,03-20-2000,21-03-2000,0,PROSPECCION ABRIL 2008
58,70161000000RCWS,03-21-2000,22-03-2000,0,EDUCACION 2008
59,70161000000RCWT,03-22-2000,23-03-2000,0,HOJA 62 INVIERNO JUNIO 2008
60,70161000000RCWU,03-23-2000,24-03-2000,0,PROSPECCION JULIO 2008
61,70161000000RCWV,03-24-2000,25-03-2000,0,PROSPECTS JULIO 2008 S-SOBRES
62,70161000000RCWW,03-25-2000,26-03-2000,0,PROSPECTS AGOSTO 2008
63,70161000000RCWX,03-26-2000,27-03-2000,0,CARTA SALON COMUNITARIO COVUNCO
64,70161000000RCWY,03-27-2000,28-03-2000,0,PROSPECTS SEPTIEMBRE 2008
65,70161000000RCWZ,03-28-2000,29-03-2000,0,HOJA 63 PRIMAVERA SEPTIEMBRE 2008
66,70161000000RCWa,03-29-2000,30-03-2000,0,PROSPECTS NOVIEMBRE 2008 - STC
67,70161000000RCWb,03-30-2000,31-03-2000,0,PROSPECTS NOVIEMBRE 2008 -DEUSTCHE POSTAMT
